masses,Portal_Coupling,sigma_SI_n,sigma_halo_cm3,BR
45.0,2.132439384460136,1.9057941256965432e-41,0.0,0.00026727902122030566
45.25252525252525,2.1018623514251886,1.8313428757358662e-41,0.0,0.00027678004211410085
45.505050505050505,2.071165152881652,1.7589563753222095e-41,0.0,0.0002868044500675374
45.75757575757576,2.040355730740443,1.6886029980621237e-41,0.0,0.00029738833277688834
46.01010101010101,2.0094319187678726,1.6202347035634668e-41,0.0,0.0003085739215174089
46.26262626262626,1.9784050713131165,1.5538262851327757e-41,0.0,0.0003204030891253274
46.51515151515152,1.947273117352556,1.4893313154592795e-41,0.0,0.00033292580564438907
46.76767676767677,1.9160360358653807,1.4267079478810293e-41,0.0,0.0003461961908475278
47.02020202020202,1.88469539851582,1.365917793301301e-41,0.0,0.0003602730546830131
47.27272727272727,1.853249628560856,1.306918885089975e-41,0.0,0.00037522226365564043
47.525252525252526,1.821698457763293,1.249672373493065e-41,0.0,0.0003911158981450573
47.77777777777778,1.790035505044181,1.194132332325944e-41,0.0,0.00040803630622385283
48.03030303030303,1.7582605957834263,1.1402628387451915e-41,0.0,0.0004260719540046183
48.28282828282829,1.7263870549660063,1.0880459611818578e-41,0.0,0.00044531392787349475
48.535353535353536,1.6944043486992295,1.0374335551316975e-41,0.0,0.00046587543190771915
48.78787878787879,1.6623235754662489,9.884056284060466e-42,0.0,0.0004878705559692649
49.04040404040404,1.6301359621740028,9.409185768657813e-42,0.0,0.000511437916924986
49.292929292929294,1.5978449178277336,8.9494452590858e-42,0.0,0.000536725044227565
49.54545454545455,1.565438649407179,8.504394507295062e-42,0.0,0.0005639077131342284
49.7979797979798,1.5329144156564762,8.073712363230424e-42,0.0,0.0005931776939640089
50.05050505050505,1.5002613241070462,7.65700554756018e-42,0.0,0.0006247580901487038
50.30303030303031,1.4674661915077538,7.253879314903334e-42,0.0,0.0006589045592401571
50.55555555555556,1.434509535761797,6.86390197388392e-42,0.0,0.0006959151350116457
50.80808080808081,1.4013634989432575,6.486594668450629e-42,0.0,0.0007361412511989697
51.06060606060606,1.3680112062014818,6.121616477480377e-42,0.0,0.0007799776519525957
51.31313131313132,1.3344271535949237,5.768576841912772e-42,0.0,0.0008278921309570895
51.56565656565657,1.300585526425613,5.427117125095061e-42,0.0,0.0008804312909931167
51.81818181818182,1.266456377886083,5.096879242479298e-42,0.0,0.0009382426400206327
52.07070707070707,1.232004899245996,4.7775050571566654e-42,0.0,0.0010020991224453323
52.323232323232325,1.1971894926005766,4.46862799658897e-42,0.0,0.0010729330605025124
52.57575757575758,1.1619620567213604,4.169883775019859e-42,0.0,0.001151876904187853
52.82828282828283,1.126257544328434,3.88084655954109e-42,0.0,0.00124034022931767
53.08080808080808,1.0899843370045692,3.600988282657697e-42,0.0,0.001340118541586371
53.333333333333336,1.0530344303322414,3.329779422856864e-42,0.0,0.0014534966855930024
53.58585858585859,1.0152746970654138,3.066658255977858e-42,0.0,0.0015834438019222475
53.83838383838384,0.9765388814708258,2.8110197669734067e-42,0.0,0.0017338993081543375
54.09090909090909,0.9366102460930664,2.5621682943499342e-42,0.0,0.0019102425807872177
54.343434343434346,0.8952219424305743,2.319394348474815e-42,0.0,0.0021199522844656117
54.5959595959596,0.8520285536246717,2.081914518534308e-42,0.0,0.0023738070418558256
54.84848484848485,0.8065768228956905,1.848866138632919e-42,0.0,0.002687939010275929
55.1010101010101,0.7582573872474642,1.6192894475699926e-42,0.0,0.0030876567814896744
55.35353535353536,0.7062437502765249,1.3921795547485545e-42,0.0,0.0036148996388506134
55.60606060606061,0.6493553019511982,1.1664418891591835e-42,0.0,0.004344704532095736
55.85858585858586,0.5858199831350298,9.409278491644009e-43,0.0,0.005425589928438863
56.11111111111112,0.5127787801255509,7.145536649279433e-43,0.0,0.007197287261404117
56.36363636363637,0.4250373998667704,4.866232714954176e-43,0.0,0.010637150423934382
56.61616161616162,0.3115070338258425,2.590925858542512e-43,0.0,0.02000449980629984
56.86868686868687,0.1574704390386547,6.563186667957334e-44,0.0,0.07538831115471772
57.121212121212125,0.0749415250718698,1.4735867829181898e-44,0.0,0.26890450748193734
57.37373737373737,0.0507371464091798,6.695964683164055e-45,0.0,0.4507730140530212
57.62626262626263,0.0387503817399918,3.872217589024832e-45,0.0,0.5902982944322143
57.87878787878788,0.0312260712328347,2.4929026992715414e-45,0.0,0.694655844101744
58.131313131313135,0.0258994534198553,1.7003201303633422e-45,0.0,0.7724994400790022
58.38383838383838,0.021878001886757,1.202983156575301e-45,0.0,0.8303343922848316
58.63636363636364,0.0186477976694569,8.6658228833885e-46,0.0,0.8740602074724291
58.888888888888886,0.0160321888589088,6.351355673643335e-46,0.0,0.9064872606965602
59.14141414141415,0.0138624373396576,4.708705637431378e-46,0.0,0.9306365146273271
59.39393939393939,0.0120339876511364,3.518830705411048e-46,0.0,0.9486451931593985
59.64646464646465,0.0104635033960805,2.638187183199452e-46,0.0,0.9621647928282486
59.898989898989896,0.009119852813212,1.987532468702999e-46,0.0,0.9721988168063143
60.15151515151516,0.0079566049706055,1.5003629758241608e-46,0.0,0.9796762662676037
60.4040404040404,0.0069475748007304,1.1345515159936825e-46,0.0,0.9852266948248658
60.65656565656566,0.0060676181882618,8.582740445495542e-47,0.0,0.9893444188742616
60.90909090909091,0.0052961986244967,6.485811903388866e-47,0.0,0.9923962746665888
61.161616161616166,0.0046176805767461,4.890400279392894e-47,0.0,0.9946512516292516
61.41414141414141,0.0040180906539684,3.6729182928004163e-47,0.0,0.9963128532230275
61.66666666666667,0.0034865756510801,2.7432122473242145e-47,0.0,0.9975315535200001
61.91919191919192,0.0030170277328635,2.0376208750203068e-47,0.0,0.9984183701954148
62.17171717171718,0.00262121336153,1.525763047765196e-47,0.0,0.9990515395595971
62.42424242424242,0.0024130090841256,1.2827196159298884e-47,0.0,0.9994843545006064
62.67676767676768,0.0448799854524284,4.402146680193253e-45,0.0,1.0
62.92929292929293,0.0951557761619351,1.963307676081707e-44,0.0,1.0
63.18181818181819,0.1348342414074578,3.911028505768208e-44,0.0,1.0
63.43434343434343,0.1708832419856196,6.232690294636252e-44,0.0,1.0
63.68686868686869,0.2048310388263929,8.885206121357318e-44,0.0,1.0
63.93939393939394,0.2372990336217273,1.1832609920681741e-43,0.0,1.0
64.1919191919192,0.2686029854852947,1.5043056085582226e-43,0.0,1.0
64.44444444444444,0.2989221839758317,1.848713230813929e-43,0.0,1.0
64.6969696969697,0.3283631616506675,2.213675314744385e-43,0.0,1.0
64.94949494949495,0.3569888729343953,2.596444776002478e-43,0.0,1.0
65.20202020202021,0.3848363713526511,2.994328036984537e-43,0.0,1.0
65.45454545454545,0.4119322293817504,3.4047778802721485e-43,0.0,1.0
65.70707070707071,0.4383013586315532,3.825476378533347e-43,0.0,1.0
65.95959595959596,0.4639572829075677,4.254132422152325e-43,0.0,1.0
66.21212121212122,0.4889104674876269,4.688578369629948e-43,0.0,1.0
66.46464646464646,0.5131692929509749,5.1267673641152596e-43,0.0,1.0
66.71717171717172,0.5367348251353253,5.566648634523852e-43,0.0,1.0
66.96969696969697,0.5596049008904083,6.006221592394513e-43,0.0,1.0
