masses,Portal_Coupling,sigma_SI_n,sigma_halo_cm3,BR
45.0,0.1815219576131555,1.3809594523020443e-43,0.0,0.03558286717697781
46.00020136931132,0.1716377941148802,1.1826067475542387e-43,0.0,0.04058008750449666
47.00040273862263,0.1609805851060172,9.97350660599363e-44,0.0,0.047049746086014116
48.00060410793395,0.1489092786567947,8.188586477894724e-44,0.0,0.056047622858511274
49.00080547724527,0.1339580859654017,6.364007741681022e-44,0.0,0.07035362515861501
50.001006846556585,0.1128765020605755,4.3428597579700236e-44,0.0,0.09929621018393357
51.00120821586791,0.0787586487260744,2.033649215969269e-44,0.0,0.19026019943007963
52.00140958517922,0.0374729649246951,4.431478038997574e-45,0.0,0.5194709842743639
53.00161095449054,0.018949026178292,1.0915140328601595e-45,0.0,0.8156088705590732
54.00181232380185,0.0108779920637544,3.467326529847618e-46,0.0,0.933863648745594
55.00201369311317,0.0065689978634643,1.2196217406616947e-46,0.0,0.9761989356634279
56.00221506242448,0.0040712259973469,4.521522494061612e-47,0.0,0.9913122057267051
57.0024164317358,0.0025582595815785,1.7242446465286138e-47,0.0,0.9968093822217919
58.00261780104712,0.0016198700066178,6.680427437354085e-48,0.0,0.9988334851582755
59.00281917035844,0.0010395280120522,2.660116891109719e-48,0.0,0.99957298509405
60.00302053966976,0.0006706639577367,1.0711851338403022e-48,0.0,0.9998483186892987
61.00322190898108,0.0004306425802788,4.275124914653853e-49,0.0,0.9999507560474445
62.00342327829239,0.0002676398668512,1.5992017202532758e-49,0.0,0.9999883265869152
63.0036246476037,0.010154271567434,2.230515826278561e-46,0.0,1.0
64.00382601691503,0.0227726907125796,1.0875647576266573e-45,0.0,1.0
65.00402738622634,0.0333833240972206,2.26678487538671e-45,0.0,1.0
66.00422875553765,0.0428043637505276,3.616194693543373e-45,0.0,1.0
67.00443012484897,0.0511739925027776,5.0175625606997877e-45,0.0,1.0
68.0046314941603,0.0584924800760803,6.366503707033505e-45,0.0,1.0
69.0048328634716,0.0647082990458667,7.570253976487886e-45,0.0,1.0
70.00503423278292,0.0697654934791067,8.553404591900492e-45,0.0,1.0
71.00523560209425,0.073554804857443,9.245270506055614e-45,0.0,1.0
72.00543697140556,0.0759990852252996,9.601122325859349e-45,0.0,1.0
73.00563834071687,0.0769529380825714,9.579145080282623e-45,0.0,1.0
