masses,Portal_Coupling,sigma_SI_n,sigma_halo_cm3,BR
3.0,1.4181137991567436,1.146098364936723e-39,0.0,0.0004205493140080835
5.000600360216129,0.6805417023902456,1.160937166461606e-40,0.0,0.0018272954537155335
7.00120072043226,0.4545250456473601,2.8979252957459953e-41,0.0,0.004099736664673019
9.00180108064839,0.3987054211069796,1.4226840779986496e-41,0.0,0.005343534066040434
11.00240144086452,0.3743717200385029,8.692620217667066e-42,0.0,0.006088046104394304
13.003001801080648,0.3600878425629188,5.899670854833041e-42,0.0,0.006619093260698453
15.00360216129678,0.3498076760553032,4.258001475984642e-42,0.0,0.007063688908391484
17.00420252151291,0.3412081097333581,3.1982157719988675e-42,0.0,0.007486248897274352
19.00480288172904,0.3332602400331208,2.469578263016604e-42,0.0,0.007923151343108505
21.005403241945167,0.3253958689820731,1.9446905302898073e-42,0.0,0.008401809847544793
23.006003602161297,0.3172322257084488,1.5523892698400063e-42,0.0,0.008948937581786302
25.006603962377422,0.308558329514155,1.2509052366065963e-42,0.0,0.009589879336702491
27.00720432259356,0.2992770443809548,1.0143315591602557e-42,0.0,0.010350914606137527
29.007804682809688,0.28923274155754,8.250378780328211e-43,0.0,0.011271803395609454
31.008405043025817,0.2786186955317901,6.727137734746179e-43,0.0,0.012377251105804938
33.00900540324194,0.2671089128523599,5.475579976493452e-43,0.0,0.013749225704450653
35.00960576345808,0.2546795385607179,4.439220359009651e-43,0.0,0.015474283486086142
37.01020612367421,0.2413110348575434,3.5762872278843038e-43,0.0,0.017677115888980882
39.010806483890335,0.2269942605846585,2.855515085111493e-43,0.0,0.020541243447550338
41.01140684410647,0.2117406886479443,2.2533099805025485e-43,0.0,0.024342742540434868
43.01200720432259,0.1958081271899015,1.7555327996407827e-43,0.0,0.029444498213841725
45.012607564538726,0.1814007568591726,1.3783593045893614e-43,0.0,0.03563903640907657
47.01320792475485,0.1608375317734052,9.950472397424875e-44,0.0,0.04714535042433327
49.013808284970985,0.133732300243047,6.339271311482481e-44,0.0,0.07060216512148489
51.01440864518712,0.0781863881590361,2.0031852561234034e-44,0.0,0.19259684036413147
53.01500900540324,0.01879829328402,1.073684437792769e-45,0.0,0.8180942866103255
55.015609365619376,0.0065257617808803,1.2030350424530685e-46,0.0,0.9765230891150444
57.0162097258355,0.0025423912880083,1.7021103195209353e-47,0.0,0.9968524083247806
59.01681008605164,0.001033392180854,2.6275800719735025e-48,0.0,0.9995788059050527
61.01741044626776,0.0004280358757766,4.221592188538649e-49,0.0,0.999951564203158
63.01801080648389,0.0103673743281715,2.3240738493544924e-46,0.0,1.0
65.01861116670003,0.0335286612523404,2.2855540858483118e-45,0.0,1.0
67.01921152691615,0.051289961928148,5.038137358615398e-45,0.0,1.0
69.01981188713228,0.0647927218710457,7.58677033821821e-45,0.0,1.0
71.02041224734842,0.0736021753688918,9.253278213563358e-45,0.0,1.0
73.02101260756454,0.076954915347148,9.575655103021101e-45,0.0,1.0
75.02161296778067,0.0736460320888205,8.31403173635654e-45,0.0,1.0
77.0222133279968,0.062953162077022,5.767239391121191e-45,0.0,1.0
79.02281368821293,0.0488464977557164,3.300591721964984e-45,0.0,1.0
81.02341404842906,0.0386712178868959,1.968958596758714e-45,0.0,1.0
83.02401440864519,0.0354875253273247,1.5800320506399297e-45,0.0,1.0
85.02461476886133,0.0349679551173478,1.4635305063133332e-45,0.0,1.0
87.02521512907745,0.0350999309134845,1.4082872102330112e-45,0.0,1.0
89.02581548929358,0.0351417261805542,1.3495584342834007e-45,0.0,1.0
91.0264158495097,0.0347063064645297,1.2596756534166895e-45,0.0,1.0
93.02701620972584,0.0346784542204879,1.2046724103136034e-45,0.0,1.0
95.02761656994196,0.0350484527773267,1.1797461693953368e-45,0.0,1.0
97.0282169301581,0.0356573347100114,1.1717300283588453e-45,0.0,1.0
99.02881729037423,0.0364315317979904,1.1746970836740782e-45,0.0,1.0
101.02941765059036,0.0372133672037356,1.1780347984575236e-45,0.0,1.0
103.03001801080649,0.0380201598820784,1.182800852273113e-45,0.0,1.0
105.0306183710226,0.0388580900753727,1.1893012768817427e-45,0.0,1.0
